system,n,em,path_recall,path_precision,path_f1,lcs_recall,lat_mean_s,lat_p95_s,prompt_tokens_mean,completion_tokens_mean
gcr_constrained_paths,100.0,0.0,0.879,0.6611666666666668,0.6885620490620491,0.9130912698412699,0.0,0.0,,
gcr_unconstrained_paths,100.0,0.0,0.006666666666666666,0.0029166666666666664,0.00404040404040404,0.5304603174603174,0.0,0.0,,
