system,n,em,path_recall,path_precision,path_f1,lcs_recall,lat_mean_s,lat_p95_s,prompt_tokens_mean,completion_tokens_mean
gcr_constrained,100.0,0.62,,,,,1.2029064509877936,1.9798546651378268,2357.87,29.05
gcr_unconstrained,100.0,0.19,,,,,0.9732719710189849,1.4636752852471544,404.26,26.38
