system,n,em,path_recall,path_precision,path_f1,lcs_recall,lat_mean_s,lat_p95_s,prompt_tokens_mean,completion_tokens_mean
gcr_constrained,100.0,0.74,,,,,1.1157685610186308,1.5741981500759716,2365.87,31.3
gcr_unconstrained,100.0,0.34,,,,,1.0303447670070454,1.534364585392177,412.26,28.52
rag,100.0,0.08,,,,,1.0775203410023824,1.4449684052960947,595.98,28.76
graphrag,100.0,0.22,,,,,1.1839618250355124,1.7342503100866444,1203.26,32.44
