system,n,correctness,faithfulness,hallucination_rate,judge_prompt_tokens_mean
gcr_constrained,100.0,0.64,0.82,0.18000000000000005,239.23
gcr_unconstrained,100.0,0.33,0.81,0.18999999999999995,237.85
rag,100.0,0.0,0.84,0.16000000000000003,237.18
graphrag,100.0,0.1,0.91,0.08999999999999997,240.56
