system,n,em,path_recall,path_precision,path_f1,lcs_recall,lat_mean_s,lat_p95_s,prompt_tokens_mean,completion_tokens_mean
gcr_constrained,100.0,0.59,,,,,1.1316339399851858,1.8855457498924804,1849.63,28.92
gcr_unconstrained,100.0,0.2,,,,,0.9310229000076652,1.3001379649853333,400.89,25.84
